,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,Provider County Name,Number of Certified Beds,Average Number of Residents Per Day,Provider Type,Overall Rating,Health Inspection Rating,QM Rating,Staffing Rating,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Total Weighted Health Survey Score,Number of Facility Reported Incidents,Number of Substantiated Complaints,Number of Fines,Total Number of Penalties,Avg Hospital Stay,Treatment cost (in thousands $),Hospital readmission rates(in %),Patient wait time (mins),Patient satisfaction rate(out of 10),Patient safety(out of 10),ER wait time,Primary Care Provider(PCP)
1924,555703,WINDSOR CARE CENTER OF PETALUMA,523 HAYES LANE,PETALUMA,CA,94952,7077632457,Sonoma,79,70.8,Medicare and Medicaid,4,4,3,3,3.74537,0.07038,,0,3,0,0,7,47,33,95,7,5,3,PD
1925,345471,MECKLENBURG HEALTH & REHABILITATION CENTER,2415 SANDY PORTER ROAD,CHARLOTTE,NC,28273,7045830430,Mecklenburg,100,90.3,Medicare and Medicaid,1,1,3,2,2.62386,0.06322,165.333,0,9,2,2,7,16,32,25,7,5,3,No
1926,375560,SPANISH COVE HOUSING AUTHORITY,11 PALM STREET,YUKON,OK,73099,4053541901,Canadian,47,36.1,Medicare,5,5,3,5,7.3071,0.01086,0,0,0,0,1,4,53,35,75,6,5,3,No
1927,366424,OTTERBEIN NEW ALBANY,6690 LIBERATION WAY,NEW ALBANY,OH,43054,6149816854,Franklin,50,44.1,Medicare and Medicaid,2,1,4,4,5.59511,0.12409,108,0,7,0,0,6,15,44,46,4,,4,FP
1928,275025,HERITAGE PLACE,171 HERITAGE WAY,KALISPELL,MT,59901,4067550800,Flathead,140,73,Medicare and Medicaid,2,1,3,4,3.40584,0.02145,139.167,0,7,3,4,4,14,45,55,1,5,3,FP
1929,335725,HOPE CENTER FOR H I V AND NURSING CARE,1401 UNIVERSITY AVENUE,BRONX,NY,10452,7184086333,Bronx,66,63.5,Medicare and Medicaid,5,4,5,4,2.5221,0.03929,6.667,0,0,0,0,7,45,54,15,6,,5,GP
1930,395831,SCHUYLKILL CENTER,1000 SCHUYLKILL MANOR RD,POTTSVILLE,PA,17901,5706229666,Schuylkill,190,182.7,Medicare and Medicaid,5,4,5,2,3.46733,0.05629,18.667,1,0,1,1,5,44,52,15,3,5,5,FP
1931,37E624,CALLAWAY NURSING HOME,1300 WEST LINDSEY,SULPHUR,OK,73086,5806222416,Murray,86,56.8,Medicaid,2,2,2,2,2.78528,0,76,0,2,0,0,5,8,22,30,8,5,2,PD
1932,515123,WELLSBURG CENTER,70 VALLEY HAVEN DR,WELLSBURG,WV,26070,3043945322,Brooke,60,56,Medicare and Medicaid,4,4,4,2,3.11787,0.03708,26.667,0,0,1,1,3,41,33,25,6,5,4,No
1933,375548,AYERS NURSING HOME,801 B STREET,SNYDER,OK,73566,5805692258,Kiowa,97,70.8,Medicare and Medicaid,3,3,3,3,3.49158,0.00697,49.333,0,0,0,0,5,34,33,75,4,5,3,FP
1934,305072,JAFFREY REHABILITATION AND NURSING CENTER,20 PLANTATION DRIVE,JAFFREY,NH,3452,6035328726,Cheshire,83,47.8,Medicare and Medicaid,5,4,5,3,3.91667,0.1403,2.667,0,1,0,0,6,49,53,35,7,5,5,GIM
1935,395846,KADIMA REHABILITATION & NURSING AT CAMPBELLTOWN,2880 HORSESHOE PIKE  PO BOX 137,PALMYRA,PA,17078,7178382231,Lebanon,53,51.5,Medicare and Medicaid,4,3,5,2,3.16507,0.04292,40.667,0,9,0,0,7,31,52,15,4,5,5,PD
1936,365739,HEATHER KNOLL RETIREMENT VILLAGE,1134 NORTH AVE,TALLMADGE,OH,44278,3306888600,Summit,115,94.4,Medicare and Medicaid,5,4,5,2,3.3332,0.06681,16.667,0,0,0,0,3,43,52,45,3,5,5,FP
1937,676021,CLAREWOOD HOUSE EXTENDED CARE CENTER,7400 CLAREWOOD DR,HOUSTON,TX,77036,7137745821,Harris,60,48.6,Medicare,5,4,5,4,4.40374,0.10636,,0,0,1,2,7,44,54,76,3,,5,PD
1938,425145,PRUITTHEALTH-AIKEN,830 LAURENS STREET NORTH,AIKEN,SC,29801,8036496264,Aiken,176,156.2,Medicare and Medicaid,1,1,2,3,3.55912,0.05191,166.667,13,0,0,0,8,15,23,25,4,5,2,FP
1939,675934,LA DORA NURSING AND REHABILITATION CENTER,1960 BEDFORD RD,BEDFORD,TX,76021,8172834771,Tarrant,62,54.9,Medicare and Medicaid,5,4,5,2,2.73498,0.02873,30.667,0,0,0,0,8,47,52,75,3,5,5,FP
1940,555791,BROOKDALE NORTHRIDGE,17650 DEVONSHIRE STREET,NORTHRIDGE,CA,91325,8188861616,Los Angeles,45,42.9,Medicare,4,3,5,3,5.12524,0.25484,72.667,2,3,2,2,8,31,53,95,9,5,5,No
1941,555141,TOWN AND COUNTRY MANOR,555 EAST MEMORY LANE,SANTA ANA,CA,92706,7145477157,Orange,96,78.1,Medicare and Medicaid,5,5,5,4,,0.13884,8.667,0,1,0,0,7,52,54,95,4,,5,No
1942,5.10E+35,NELLA'S NURSING HOME,"200 WHITMAN AVENUE, CRYSTAL SPRINGS",ELKINS,WV,26241,3046362033,Randolph,84,63.2,Medicaid,3,3,3,2,2.77278,0.00782,60.667,0,0,0,0,3,37,32,21,4,5,3,FP
1943,375449,LANE NURSING & VENTILATOR CARE,400 NORTH BROADWAY,INOLA,OK,74036,9185438800,Rogers,65,47.5,Medicare and Medicaid,1,1,4,1,4.00313,0.02301,111,0,3,0,0,9,10,41,75,4,5,4,FP
1944,675372,LA BAHIA NURSING AND REHABILITATION LP,225 E WARD ST,GOLIAD,TX,77963,3616458902,Goliad,90,58.7,Medicare and Medicaid,2,3,3,1,,0.00717,46,0,1,0,0,3,36,31,75,7,5,3,GER
1945,365760,VISTA CENTER OF BOARDMAN,830 BOARDMAN CANFIELD RD,BOARDMAN,OH,44512,3302599393,Mahoning,60,50.1,Medicare and Medicaid,4,3,5,2,2.88725,0.10124,28.667,0,0,0,0,3,38,52,45,6,5,5,PD
1946,285151,WISNER CARE CENTER,1105 9TH STREET,WISNER,NE,68791,4025293286,Cuming,38,34.4,Medicare and Medicaid,5,4,5,5,3.91276,0,20,0,2,0,0,4,9,55,65,5,5,5,PD
1947,315515,"ATRIUM AT NAVESINK HARBOR, THE",40 RIVERSIDE AVENUE,RED BANK,NJ,7701,7328423400,Monmouth,43,38.9,Medicare and Medicaid,4,3,3,5,4.24832,0.11688,18.667,0,0,0,0,7,32,35,75,4,,3,No
1948,425117,CARLYLE SENIOR CARE OF KINGSTREE,401 NELSON BOULEVARD,KINGSTREE,SC,29556,8433556116,Williamsburg,96,93.8,Medicare and Medicaid,4,4,2,3,3.29842,0.00864,27.333,0,0,0,0,8,42,23,25,9,5,2,FP
1949,366186,HUMILITY HOUSE,755 OHLTOWN ROAD,AUSTINTOWN,OH,44515,3305050144,Mahoning,70,59,Medicare and Medicaid,3,2,3,4,5.18575,0.05022,84.667,0,0,0,0,3,21,36,46,8,5,3,PD
1950,315137,BARN HILL CARE CENTER,249 HIGH STREET,NEWTON,NJ,7860,9733835600,Sussex,154,130.1,Medicare and Medicaid,5,3,5,4,3.62429,0.0738,16.667,0,0,1,1,9,36,54,75,3,,5,PD
1951,305091,COLONIAL POPLIN NURSING HOME,442 MAIN STREET,FREMONT,NH,3044,6038953126,Rockingham,50,42.5,Medicare and Medicaid,3,3,4,3,3.96966,0.23536,4.667,0,0,0,0,6,39,43,35,9,5,4,FP
1952,525319,EDENBROOK LAKESIDE,2115 E WOODSTOCK PL,MILWAUKEE,WI,53202,4142711020,Milwaukee,130,88.1,Medicare and Medicaid,1,1,2,3,3.66718,0.09328,582.167,4,22,1,2,4,16,23,55,1,,2,PD
1953,676043,HOUSTON COUNTY NURSING HOME,100 N E LOOP 304,CROCKETT,TX,75835,9365447884,Houston,90,48,Medicare and Medicaid,5,4,5,2,1.69474,0.00407,29.333,0,2,0,0,9,46,93,76,4,5,5,FP
1954,335204,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820,6074315980,Otsego,131,125.3,Medicare and Medicaid,3,2,5,2,,0.05912,40,0,0,1,1,6,24,52,15,1,5,5,FP
1955,395879,QUALITY LIFE SERVICES - MERCER,8221 LAMOR ROAD,MERCER,PA,16137,7246625860,Mercer,48,43.9,Medicare and Medicaid,5,4,5,3,3.61242,0.03955,26,0,1,0,0,7,46,53,15,7,,5,No
1956,285190,ALPINE VILLAGE RETIREMENT CENTER,706 JAMES STREET,VERDIGRE,NE,68783,4026682209,Knox,58,33.6,Medicare and Medicaid,5,4,3,5,3.87876,0.01163,15.333,0,0,0,0,4,48,35,65,9,,3,No
1957,495200,WESTWOOD CENTER,WESTWOOD MEDICAL PARK,BLUEFIELD,VA,24605,2763225439,Tazewell,65,54.9,Medicare and Medicaid,2,2,2,3,3.42435,0.09863,81.333,0,2,1,1,2,24,23,25,6,5,2,FP
1958,675185,LONGMEADOW HEALTHCARE CENTER,120 MEADOWVIEW DR,JUSTIN,TX,76247,9406482731,Denton,120,114.7,Medicare and Medicaid,1,2,3,1,2.84113,0.11903,98,5,3,0,0,9,28,31,75,8,5,3,FP
1959,375546,THE VILLAGES AT SOUTHERN HILLS,5721 S LEWIS AVE,TULSA,OK,74105,9184476447,Tulsa,110,102.8,Medicare and Medicaid,5,5,5,1,3.93349,,12.667,0,0,0,0,9,59,51,75,4,,5,GP
1960,345113,WILLOW CREEK NURSING AND REHABILITATION CENTER,2401 WAYNE MEMORIAL DRIVE,GOLDSBORO,NC,27534,9197362121,Wayne,200,178.3,Medicare and Medicaid,2,2,3,3,3.76143,0.05815,37.333,0,17,0,0,9,27,33,25,2,,3,FP
1961,395375,SWAIM HEALTH CENTER,210 BIG SPRING ROAD,NEWVILLE,PA,17241,7177768200,Cumberland,79,72.9,Medicare and Medicaid,4,2,5,4,4.17057,0.08555,50.167,0,1,1,1,7,21,54,15,7,5,5,PD
1962,555767,BELLAKEN SKILLED NURSING CENTER,2780 26TH AVENUE,OAKLAND,CA,94601,5105361838,Alameda,61,58.6,Medicare and Medicaid,5,5,5,3,3.74054,0.0441,25.333,0,1,0,0,5,57,53,95,6,5,5,No
1963,555379,ASISTENCIA VILLA REHABILITATION AND CARE CENTER,1875 BARTON ROAD,REDLANDS,CA,92373,9097931382,San Bernardino,99,94.7,Medicare and Medicaid,2,1,5,2,4.67263,0.0616,129.333,1,2,0,0,9,16,52,95,7,5,5,PD
1964,525467,MARYHILL MANOR,501 MADISON AVE,NIAGARA,WI,54151,7152513172,Marinette,66,51.7,Medicare and Medicaid,3,2,5,3,3.44059,0.02654,,2,1,0,0,7,24,53,55,6,5,5,PD
1965,505453,KIN ON HEALTH CARE CENTER,4416 SOUTH BRANDON STREET,SEATTLE,WA,98118,2067213630,King,100,94.9,Medicare and Medicaid,5,4,5,4,3.88973,0.00967,60,2,5,1,1,2,48,54,95,5,5,5,PD
1966,415008,GREENWOOD CENTER,1139 MAIN AVENUE,WARWICK,RI,2886,4017396600,Kent,130,119.1,Medicare and Medicaid,4,3,4,4,3.44348,0.07638,12.667,0,0,0,0,4,34,44,25,1,,4,FP
1967,455478,QUALITY CARE OF WACO,2501 MAPLE AVE,WACO,TX,76707,2547520311,Mc Lennan,202,84.9,Medicare and Medicaid,2,3,1,2,3.62173,0.15654,46,1,9,0,0,2,36,12,75,7,5,1,PD
1968,295008,EL JEN CONVALESCENT HOSPITAL AND RETIREMENT CENTER,5538 W DUNCAN DR,LAS VEGAS,NV,89130,7026452606,Clark,144,133.3,Medicare and Medicaid,3,2,4,4,3.75185,0.03916,82,10,3,0,0,7,27,44,85,1,,4,FP
1969,335650,TERRACE VIEW LONG TERM CARE FACILITY,462 GRIDER STREET,BUFFALO,NY,14215,7165517100,Erie,390,385.6,Medicare and Medicaid,4,2,5,4,4.79235,0.06741,40.667,4,1,1,1,7,27,54,15,5,5,5,PD
1970,415082,RIVERVIEW HEALTHCARE COMMUNITY,546 MAIN STREET,COVENTRY,RI,2816,4018216837,Kent,190,175.9,Medicare and Medicaid,2,2,2,3,3.08893,0.06344,17.333,0,0,0,0,4,20,23,25,8,5,2,No
1971,265869,MCCRITE PLAZA AT BRIARCLIFF SKILLED FACILITY,1301 TULLISON RD,KANSAS CITY,MO,64116,8168887930,Clay,80,44.1,Medicare,4,2,5,4,5.92863,0.1442,64.667,2,0,0,0,8,29,54,65,6,,5,No
1972,395638,MASONIC VILLAGE AT SEWICKLEY,1000 MASONIC DRIVE,SEWICKLEY,PA,15143,4127411400,Allegheny,128,119,Medicare and Medicaid,5,4,4,5,3.86313,0.04588,18,0,0,0,0,4,48,48,15,3,5,4,FP
1973,676315,THE HILLCREST OF NORTH DALLAS,18648 HILLCREST RD,DALLAS,TX,75252,9725177771,Dallas,120,85.2,Medicare and Medicaid,1,1,1,2,3.21433,0.0296,117,3,1,1,1,9,12,12,76,1,5,1,FP
1974,495399,CHATHAM HEALTH & REHABILITATION CENTER,100 RORER STREET,CHATHAM,VA,24531,4344320471,Pittsylvania,85,76.8,Medicare and Medicaid,5,4,5,2,3.06572,0.05678,32,0,0,0,0,4,40,52,25,9,5,5,GP
1975,445239,LIFE CARE CENTER OF MORGAN COUNTY,419 SOUTH KINGSTON STREET,WARTBURG,TN,37887,4233466691,Morgan,124,70.6,Medicare and Medicaid,3,3,4,3,3.23952,0.06844,14.667,0,1,0,0,4,32,43,35,3,5,4,FP
1976,345516,CONOVER NURSING AND REHAB CTR,920 4TH STREET SOUTHWEST,CONOVER,NC,28613,8286958282,Catawba,90,80,Medicare and Medicaid,5,5,4,3,4.50455,0.0534,4,0,0,0,0,8,55,86,25,9,5,4,PD
1977,525711,PRIDE TLC THERAPY AND LIVING CAMPUS,7805 BIRCH ST,WESTON,WI,54476,7152983833,Marathon,25,18.7,Medicare and Medicaid,5,5,5,5,6.25218,0.33589,6,0,0,0,0,7,52,55,55,2,5,5,No
1978,396054,MASONIC VILLAGE AT WARMINSTER,850 NORRISTOWN ROAD,WARMINSTER,PA,18974,2156722500,Bucks,43,42.6,Medicare and Medicaid,4,4,4,3,3.3512,0.11903,24.667,0,0,0,0,2,43,43,16,5,5,4,PD
1979,315228,COURT HOUSE CENTER,144 MAGNOLIA DRIVE,CAPE MAY COURT HOUSE,NJ,8210,6094657171,Cape May,120,93.4,Medicare and Medicaid,4,3,5,3,3.59998,0.11674,14.667,0,0,0,0,6,35,53,85,2,5,5,PD
1980,445203,WEST MEADE PLACE,1000 ST LUKE DRIVE,NASHVILLE,TN,37205,6153523430,Davidson,120,84.2,Medicare and Medicaid,3,2,5,2,5.26727,0.12358,34.667,13,1,1,1,6,22,52,35,2,5,5,No
1981,675871,TRINITY NURSING AND REHABILITATION OF COMFORT LP,615 FALTIN AVE,COMFORT,TX,78013,8309953757,Kendall,76,33.1,Medicare and Medicaid,3,3,3,2,3.13372,0.01421,65.333,0,0,0,0,8,31,32,75,7,5,3,FP
1982,365776,COUNTRY VIEW OF SUNBURY,14961 N OLD 3C HIGHWAY,SUNBURY,OH,43074,7409653984,Delaware,116,111.1,Medicare and Medicaid,5,5,5,2,3.2008,0.01305,11.333,0,1,0,0,7,52,52,45,7,5,5,FP
1983,385253,BEND TRANSITIONAL CARE,900 NE 27TH STREET,BEND,OR,97701,5413820479,Deschutes,54,52,Medicare and Medicaid,4,3,4,5,4.97958,0.37411,72,2,2,1,1,5,39,53,95,5,5,4,GP
1984,445430,AHC LEWIS COUNTY,"119 KITTRELL ST, PO BOX 129",HOHENWALD,TN,38462,9317963233,Lewis,131,93.2,Medicare and Medicaid,2,2,3,2,3.4597,0.03038,24.667,3,1,0,0,9,24,32,35,3,5,3,FP
1985,345570,HUNTERSVILLE HEALTH & REHAB CENTER,13835 BOREN STREET,HUNTERSVILLE,NC,28078,7049122222,Mecklenburg,90,86.1,Medicare and Medicaid,2,2,4,2,3.98842,,56.333,0,3,1,1,7,29,42,25,7,,4,PD
1986,675650,GARDEN TERRACE ALZHEIMER'S CENTER OF EXCELLENCE,7500 OAKMONT BLVD,FORT WORTH,TX,76132,8173468080,Tarrant,120,53,Medicare,4,3,5,3,4.63806,0.2618,42.667,1,0,1,1,8,36,80,75,5,,5,No
1987,675177,PINE TREE LODGE NURSING CENTER,2711 PINE TREE RD,LONGVIEW,TX,75604,9037593994,Gregg,91,74.8,Medicare and Medicaid,2,3,3,1,3.29718,0.01977,59.333,0,3,0,0,9,32,31,75,7,5,3,FP
1988,365900,VERSAILLES REHABILITATION AND HEALTH CARE CENTER,200 MARKER ROAD,VERSAILLES,OH,45380,9375265570,Darke,112,83,Medicare and Medicaid,4,3,5,2,2.92287,0.0527,39.333,0,4,1,1,9,39,90,45,1,5,5,No
1989,375460,"MONTEREAU, INC",6800 SOUTH GRANITE AVENUE,TULSA,OK,74136,9184915250,Tulsa,74,71.7,Medicare,5,5,5,4,5.65737,0.11198,14.667,0,0,0,0,9,56,54,75,6,5,5,PD
1990,325056,SOMBRILLO NURSING FACILITY,1011 SOMBRILLO COURT,LOS ALAMOS,NM,87544,5056624300,Los Alamos,66,59.9,Medicare and Medicaid,4,3,4,4,3.52195,0.08959,110,0,0,0,0,5,35,44,85,5,5,4,FP
1991,555368,"CENTURY VILLA, INC",301 CENTINELA AVE,INGLEWOOD,CA,90302,3106721012,Los Angeles,99,87.5,Medicare and Medicaid,3,2,5,3,4.48553,0.06828,81.333,0,1,0,0,3,24,53,95,6,5,5,PD
1992,366051,OAKS AT NORTHPOINTE,3291 NORTHPOINTE DRIVE,ZANESVILLE,OH,43701,7404523000,Muskingum,75,70.4,Medicare and Medicaid,2,2,3,2,3.59554,0.02882,71,0,6,2,2,7,25,32,46,5,5,3,FP
1993,345006,BLUMENTHAL NURSING & REHABILITATION CENTER,3724 WIRELESS DRIVE,GREENSBORO,NC,27455,3365409991,Guilford,134,124.2,Medicare and Medicaid,1,1,2,2,3.55514,0.14369,104,0,12,3,3,3,15,22,25,6,5,2,FP
1994,365585,EDGEWOOD MANOR OF LUCASVILLE I,10098 BIG BEAR CREEK RD,LUCASVILLE,OH,45648,7402595536,Scioto,96,82.1,Medicare and Medicaid,3,3,2,2,3.14723,0.03639,44,0,0,0,0,7,31,22,45,8,,2,No
1995,366268,WALNUT HILLS NURSING HOME,4748 OLDE PUMP STREET,WALNUT CREEK,OH,44687,3308933200,Holmes,99,68,Medicare and Medicaid,5,3,5,4,4.28074,0.05664,35.333,0,2,0,0,3,32,38,46,6,5,5,PD
1996,525548,PEABODY MANOR,2600 S HERITAGE WOODS DR,APPLETON,WI,54915,9207383000,Winnebago,68,48.9,Medicare and Medicaid,5,3,5,5,4.99989,0.11872,32,0,0,0,0,9,39,55,55,4,5,5,FP
1997,415034,GRAND ISLANDER CENTER,333 GREEN END AVENUE,MIDDLETOWN,RI,2842,4018497100,Newport,146,122.4,Medicare and Medicaid,5,4,5,4,3.54049,0.08076,2.667,0,0,0,0,4,45,54,25,3,5,5,FP
1998,305040,LACONIA REHABILITATION CENTER,175 BLUEBERRY LANE,LACONIA,NH,3246,6035243340,Belknap,120,116.6,Medicare and Medicaid,1,1,4,3,3.71126,0.07492,19.333,2,1,0,0,6,17,43,35,4,5,4,GP
1999,676197,RIDGEVIEW REHABILITATION AND SKILLED NURSING,206 WALLS DR,CLEBURNE,TX,76033,8176450668,Johnson,133,80.7,Medicare and Medicaid,3,3,4,2,3.24412,0.01857,63.333,0,6,1,1,8,32,42,76,9,5,4,FP
2000,385045,PORTHAVEN HEALTHCARE CENTER,5330 NE PRESCOTT STREET,PORTLAND,OR,97218,5032886585,Multnomah,99,62.7,Medicare and Medicaid,3,2,3,4,4.26783,0.08141,106,3,15,0,0,5,22,34,95,4,,3,PD
2001,366260,CLAYMONT NURSING & REHABILITATION CENTER,5166 SPANSON DRIVE SE,UHRICHSVILLE,OH,44683,7409222208,Tuscarawas,60,54.4,Medicare and Medicaid,5,4,5,2,3.09214,0.01598,24,0,0,0,0,7,40,52,46,6,5,5,No
2002,455838,ROBSTOWN NURSING AND REHABILITATION CENTER,603 E AVE J,ROBSTOWN,TX,78380,3613871568,Nueces,94,60,Medicare and Medicaid,1,1,2,1,3.15376,0,,2,5,1,1,3,8,38,75,3,5,2,FP
2003,676178,DUNCANVILLE HEALTHCARE AND REHABILITATION CENTER,419 S COCKRELL HILL RD,DUNCANVILLE,TX,75116,9727088800,Dallas,124,91,Medicare and Medicaid,1,2,3,1,3.43583,0,100.833,1,2,0,0,9,1,98,76,7,,3,No
2004,445467,ALAMO NURSING AND REHABILITATION CENTER,580 W MAIN STREET,ALAMO,TN,38001,7316964541,Crockett,121,71.7,Medicare and Medicaid,5,5,3,3,4.37595,0.02966,2.667,0,0,0,0,7,53,33,35,6,5,3,PD
2005,455713,SUNRISE NURSING & REHAB CENTER,50 BRIGGS ST,SAN ANTONIO,TX,78224,2109210184,Bexar,119,83.5,Medicare and Medicaid,1,1,2,1,3.27917,0.01891,141.333,3,4,1,1,2,12,21,75,3,5,2,FP
2006,375381,BAPTIST VILLAGE OF OKLAHOMA CITY,9700 MASHBURN BLVD,OKLAHOMA CITY,OK,73162,4057212466,Oklahoma,120,98.8,Medicare and Medicaid,5,5,5,4,6.17413,0.06905,18,0,1,0,0,4,51,54,75,8,5,5,PD
2007,106088,CLYDE E LASSEN STATE VETERANS NURSING HOME,4650 STATE RD 16,SAINT AUGUSTINE,FL,32092,9049402193,St. Johns,120,109.8,Medicare and Medicaid,5,4,4,5,6.09856,0.03886,16.667,1,2,0,0,9,40,45,36,8,5,4,FP
2008,395168,COLONIAL MANOR NURSING HOME,970 COLONIAL AVENUE,YORK,PA,17403,7178452661,York,270,212.9,Medicare and Medicaid,2,2,3,3,3.39058,0.04779,76,1,3,0,0,7,23,33,15,6,5,3,FP
2009,395561,REFORMED PRESBYTERIAN HOME,2344 PERRYSVILLE AVENUE,PITTSBURGH,PA,15214,4123214139,Allegheny,58,49.2,Medicare and Medicaid,2,2,2,3,4.35991,0.10489,73,1,7,0,0,4,23,23,15,6,5,2,No
2010,46A066,"LITTLE COTTONWOOD REHABILITATION AND NURSING, LLC",3094 SOUTH STATE STREET,SALT LAKE CITY,UT,84115,8014859007,Salt Lake,37,36.8,Medicaid,5,4,5,2,2.02109,0,14,0,0,0,0,8,1,52,30,6,,5,GER
2011,385155,FOREST GROVE REHABILITATION AND CARE CENTER,3900 PACIFIC AVENUE,FOREST GROVE,OR,97116,5033590449,Washington,114,68.9,Medicare and Medicaid,3,2,4,4,4.39727,0.14528,86.667,1,7,1,1,5,23,44,95,5,5,4,FP
2012,395285,BARNES-KASSON COUNTY HOSPITAL,2872 TURNPIKE STREET,SUSQUEHANNA,PA,18847,5708533135,Susquehanna,58,54.3,Medicare and Medicaid,2,1,2,4,4.06359,0.01282,168.667,0,0,1,1,5,10,24,15,8,5,2,PD
2013,275035,MISSOULA HEALTH & REHABILITATION CENTER,3018 RATTLESNAKE DR,MISSOULA,MT,59802,4065490988,Missoula,53,34.9,Medicare and Medicaid,2,1,2,4,3.40594,0.0596,104.5,0,0,1,1,4,14,24,55,3,,2,GP
2014,555649,WEST COVINA MEDICAL CENTER D/P SNF,725 S. ORANGE AVENUE,WEST COVINA,CA,91790,8183388481,Los Angeles,33,25.8,Medicare and Medicaid,3,2,5,3,9.36696,0.01794,75.333,0,4,0,0,8,23,53,95,4,5,5,FP
2015,106099,VILLAGES REHABILITATION AND NURSING CENTER (THE),900 HIGHWAY 466,LADY LAKE,FL,32159,3524300017,Lake,120,112.6,Medicare and Medicaid,4,3,5,3,4.8445,0.23114,28,1,2,1,1,3,38,53,36,9,5,5,PD
2016,366326,"GENEVA VILLAGE RETIREMENT COMMUNITY, LTD",1140 SOUTH BROADWAY,GENEVA,OH,44041,4404665809,Ashtabula,80,49.5,Medicare and Medicaid,4,3,5,3,3.89531,0.01866,33.333,0,0,0,0,4,38,53,46,8,5,5,PD
2017,425393,PRESBYTERIAN COMMUNITIES OF SOUTH CAROLINA- CLINTO,801 MUSGROVE STREET,CLINTON,SC,29325,8648335190,Laurens,18,10.8,Medicare,5,3,5,5,6.49243,0.09524,28.667,0,0,0,0,8,34,55,25,9,5,5,FP
2018,345553,AUTUMN CARE OF FAYETTEVILLE,1401 71ST SCHOOL ROAD,FAYETTEVILLE,NC,28314,9108674960,Cumberland,90,79.3,Medicare and Medicaid,4,4,4,2,3.74298,0.06425,12.667,0,2,0,0,9,47,42,25,5,5,4,No
2019,495394,THE LAURELS OF BON AIR,9101 BON AIR CROSSINGS DRIVE,BON AIR,VA,23235,8045219980,Chesterfield,124,118.5,Medicare and Medicaid,3,2,5,2,3.09628,0.12808,97.667,0,7,0,0,8,20,52,25,9,5,5,PD
2020,345477,THE OAKS AT SWEETEN CREEK,3864 SWEETEN CREEK ROAD,ARDEN,NC,28704,8286810904,Buncombe,100,82,Medicare and Medicaid,2,1,5,3,3.12783,0.04289,96.333,1,7,2,2,8,11,87,25,7,,5,FP
2021,676257,TRUCARE LIVING CENTERS,2265 S SYCAMORE ST,PALESTINE,TX,75801,9037232592,Anderson,120,86.5,Medicare and Medicaid,2,3,3,1,3.30968,0.07011,58.667,0,0,0,0,9,33,31,76,5,,3,PD
2022,335560,"N Y CONGREGATIONAL NURSING CENTER, INC",135 LINDEN BOULEVARD,BROOKLYN,NY,11226,7186936060,Kings,200,187.8,Medicare and Medicaid,5,4,5,2,3.19842,,6,0,0,0,0,7,41,52,15,6,,5,FP
2023,555126,ARARAT CONVALESCENT HOSPITAL,2373 COLORADO BLVD.,LOS ANGELES,CA,90041,3232568012,Los Angeles,42,40.5,Medicare and Medicaid,5,3,5,4,3.82973,0.06663,56.667,0,1,0,0,3,38,54,95,1,5,5,PD
2024,395514,MAYBROOK HILLS REHABILITATION AND HEALTHCARE CENTE,301 VALLEY VIEW BOULEVARD,ALTOONA,PA,16602,8149440845,Blair,240,208.4,Medicare and Medicaid,3,2,5,2,3.80909,0.04371,74,1,12,0,0,8,28,52,15,2,,5,No
2025,315280,SILVER HEALTHCARE CENTER,1417 BRACE ROAD,CHERRY HILL,NJ,8034,8567953131,Camden,256,198.4,Medicare and Medicaid,1,1,4,3,3.81678,0.05855,61.333,0,18,1,1,8,18,43,85,8,5,4,No
2026,395731,MANORCARE HEALTH SERVICES-BETHEL PARK,60 HIGHLAND ROAD,BETHEL PARK,PA,15102,4128316050,Allegheny,160,144.5,Medicare and Medicaid,4,4,4,4,3.38972,0.07569,22,0,0,0,0,4,43,44,15,3,,4,FP
2027,445486,"STONERIDGE HEALTH CARE, LLC",5121 GREER ROAD,GOODLETTSVILLE,TN,37072,6158595895,Davidson,38,34.5,Medicare and Medicaid,5,5,2,3,4.13675,0.11089,3.333,0,0,0,0,6,51,23,35,8,5,2,FP
2028,505181,REDMOND CARE AND REHABILITATION CENTER,7900 WILLOWS ROAD NORTHEAST,REDMOND,WA,98052,4258850808,King,139,74.8,Medicare and Medicaid,4,3,5,3,3.54311,0.16692,110,8,4,4,4,4,35,53,95,8,5,5,GP
2029,395352,BROAD ACRES HEALTH AND REHAB,1883 SHUMWAY HILL ROAD,WELLSBORO,PA,16901,5707243559,Tioga,120,108,Medicare and Medicaid,1,1,4,2,3.53085,0.09769,112.667,0,1,0,0,5,15,52,15,5,5,4,FP
2030,345219,MAGNOLIA LANE NURSING AND REHABILITATION CENTER,107 MAGNOLIA DRIVE,MORGANTON,NC,28655,8284378760,Burke,121,48.7,Medicare and Medicaid,1,1,3,3,3.62218,0.09123,76.333,0,12,1,1,8,16,33,25,1,5,3,PD
